week,teamid,rank
1,1,2
2,1,1
3,1,1
4,1,1
5,1,1
6,1,2
7,1,2
8,1,2
9,1,3
10,1,3
11,1,2
12,1,2
13,1,2
14,1,3
15,1,3
1,2,8
2,2,7
3,2,7
4,2,8
5,2,8
6,2,7
7,2,6
8,2,7
9,2,7
10,2,7
11,2,5
12,2,7
13,2,6
14,2,6
15,2,6
1,3,7
2,3,5
3,3,4
4,3,3
5,3,2
6,3,1
7,3,1
8,3,1
9,3,2
10,3,2
11,3,1
12,3,1
13,3,1
14,3,1
15,3,1
1,4,3
2,4,2
3,4,2
4,4,2
5,4,3
6,4,3
7,4,4
8,4,5
9,4,6
10,4,6
11,4,7
12,4,6
13,4,5
14,4,5
15,4,5
1,5,4
2,5,4
3,5,6
4,5,7
5,5,7
6,5,8
7,5,8
8,5,8
9,5,8
10,5,8
11,5,8
12,5,8
13,5,8
14,5,8
15,5,8
1,6,1
2,6,3
3,6,3
4,6,4
5,6,5
6,6,4
7,6,3
8,6,3
9,6,1
10,6,1
11,6,3
12,6,3
13,6,3
14,6,2
15,6,2
1,7,6
2,7,8
3,7,5
4,7,5
5,7,4
6,7,5
7,7,5
8,7,4
9,7,4
10,7,4
11,7,4
12,7,4
13,7,4
14,7,4
15,7,4
1,8,5
2,8,6
3,8,8
4,8,6
5,8,6
6,8,6
7,8,7
8,8,6
9,8,5
10,8,5
11,8,6
12,8,5
13,8,7
14,8,7
15,8,7
